variable,WebVariableSortOrder,category,title,titleLower,low,high,unit,shortlist,decimals,rounding,factor,Ranking statement (same for all),definition,tags,condition,conditionDefinition,positive,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
HO18_LifeExpect,01_01,Overall health status,Life Expectancy,life expectancy,Shorter life expectancy,Longer life expectancy,#,TRUE,0,1,1,"Out of 50 states, [state] ranks [#th] for [variable].",Life expectancy represents the average number of years a baby born in a given state today can expect to live. States with the best statistics (longest life expectancies) rank first.,span;longevity;age;lifespan;duration;generation;existance;cycle;lifetime;life;existance;natural;livespan;lives;lifespand;lifestime;period;life-span;life-cycle;old;oldage;old-age;elderliness;mature;maturity;experience;experience;time;life-time;lifetimes;live;lives;lifespans;,,,TRUE,75.5,78.7,80,76,81.4,80.4,80.9,78.8,78.2,80.1,77.6,82.3,79.3,79.3,77.3,79.6,78.6,75.8,75.9,78.9,79.4,80.7,78.1,81,74.9,77.6,78.6,79.6,78.5,79.9,80.6,78.3,81.1,78.1,79.7,77.5,75.9,79.8,78.6,80,77.1,79.3,76.2,78.9,79.7,79.9,79.5,80.3,75.4,79.7,78.7
HO22_ExVgGoodHealthStatAdult,01_02,Overall health status,Self-Rated Health,self-rated health,Worse self-rated health,Better self-rated health,#;%,TRUE,0,1,1,,"Self-rated health reflects the percent of adults who reported their own overall health as excellent, very good, or good (versus fair or poor). States with the best statistics (better reported health) rank first.",healthy;self-rated health;functional status;health status;state of health;condition;situation;wellness;heartiness;vigor;liveliness;vitality;well-being;healthiness;wells;well;healthful;goodshapes;shape;strong;strenght;fit;fitness;able;able-bodied;thrive;thriving;state;hearty;healthfull;healthful;health-ful;robust;,,,TRUE,77.3889819,86.16890602,81.43790658,74.43146318,82.15635219,85.53006769,85.63455726,83.58330183,88.40066116,80.50790841,80.90876981,85.24201164,84.12730049,81.96678104,81.53063213,86.07616843,84.58746917,77.53308995,78.11497266,83.63250226,85.57831777,85.89074977,81.97270251,87.30314435,76.82763884,80.97869545,84.40854125,85.32300952,79.05797007,85.94302087,82.45085127,78.33911695,83.09131012,81.70416079,85.18215215,82.00524496,79.82801119,83.59270738,83.42821159,84.3628175,79.96888336,86.97278127,79.53323656,81.68828521,88.29877112,86.53545221,83.68679613,85.63410144,73.73665438,84.04265219,84.34823683
HO24_PhysUnhealthyDays,01_03,Overall health status,Physically Unhealthy Days,physically unhealthy days,Fewer unhealthy days,More unhealthy days,#,FALSE,0,1,1,,Physically unhealthy days reflect the average number of self-reported physically unhealthy days (out of the last 30 days). States with the best statistics (fewer unhealthy days) rank first.,sick;unwell;physical health; poorly;indisposed;bad;off;ailing;infirm;un-well;bad-off;ailing;poor;poorly;poorhealth;sickly;ill;frail;weak;week;weakly;unhealthful;non-healthy;unwholesome;not well;noxious;well-being;wellbeing;self-rated;status;health status;state-of-health;health;situation;condition;functional;,,,FALSE,4.646992,3.83873,4.180603,5.230855,3.603116,3.416436,3.52636,3.464949,2.842265,4.025981,3.836101,3.467669,3.759434,3.93444,4.130185,3.134704,3.240237,5.01031,4.265474,4.374153,3.196834,3.555068,4.447337,3.08785,4.518564,4.28981,3.836343,3.293444,4.402279,3.833499,3.740624,4.508359,3.722426,3.741948,3.070972,4.091169,4.630267,3.943252,4.127951,4.001162,4.403317,3.294396,4.651689,3.598444,3.298239,3.826645,3.573638,3.819223,5.547781,3.821263,3.880981
HO25_MentUnhealthyDays,01_04,Overall health status,Mentally Unhealthy Days,mentally unhealthy days,Fewer unhealthy days,More unhealthy days,#,FALSE,0,1,1,,Mentally unhealthy days reflect the average number of self-reported mentally unhealthy days (out of the last 30 days). States with the best statistics (fewer unhealthy days) rank first.,depression;anxiety;mental illness;behavioral health;mental health;behavioral health;emotional;sanity;psychological; psychiatic;mental soundness;stability;wellness;state of mind;mental fitness;mind;well-being;self;self-reported;status;health;condition;situation;functional;well-being;wellbeing;well being;,,,FALSE,4.481227,3.474672,3.791449,5.011947,3.536875,3.589863,3.65253,3.56514,3.392815,3.568342,3.758098,3.119027,3.547581,3.438678,4.20681,3.266265,3.24351,4.597971,4.174686,4.0634,3.375411,3.885017,4.254071,3.115392,4.311725,4.168893,3.383394,3.173331,4.415466,3.957729,3.416463,3.941715,3.533601,3.823577,3.078579,4.09084,4.363943,4.276638,4.186711,4.183838,4.27217,2.801094,4.375698,3.418299,3.754076,3.892169,3.404471,3.748251,5.030365,3.717943,3.626582
HO20_YLL75,01_05,Overall health status,Premature Death,premature death,Fewer years lost,More years lost,#,FALSE,0,1,1,,"Premature death represents the number of years of life lost, per 100,000 people, from deaths that occurred before age 75. States with the best statistics (fewer years lost) rank first.",life expectancy;premature death;early death;young;before time;sudden;untimely;abrupt;swift;unexpected;life-expectancy;life-expectency;premature;pre-mature;death;die;dead;demise;fatal;fatality;deaths;early;grave;demise;passing;mortality;mortal;short;too soon;soon;timeless;untimely-death;pre-terminal;rate;lives;lost,,,FALSE,9929.9,8144.3,6892,9257.5,5180.3,5872.2,5415.9,7376,,7179.8,7646.4,5619.9,6172.9,6502.8,8054.2,6191.3,6652.4,9665.8,9355.4,6880.1,7059.6,5594.6,7431.5,5126.8,10207,8016,7388.9,5795.6,7176.1,6563.9,5647.4,8801.3,5407.2,7471.3,6527.9,8323.3,9170.6,5839.5,7401,5975.9,8487.9,6993.6,8937.8,6515.1,6073.2,5976.8,6243.5,5360.2,10382,6253.2,7067.7
HO02_CVDMort,02_01,Death rates,Heart Disease Deaths,heart disease deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The heart disease death rate reflects the number of deaths per 100,000 people, due to heart conditions. States with the best statistics (fewer deaths) rank first.",cardiovascular;heart disease;cardiac deaths;genetic;diseases;hearts;conditions;cardio-vascular;cardiac;cardiacs;circulatory;disease;artery;coronary;failure;ailment;fails;disorders;sick;deaths;die;demise;dead;fatal;fatality;mortality;mortal;rate;lives;lost,,,FALSE,295,192.8,187.1,282.6,200.6,175.7,189.1,218,260.6,198.1,241.4,180.2,203.7,222.9,241.7,213.7,220.7,260.5,274.6,196.7,222.3,179.8,254.2,164.3,306.2,250.1,200.5,199.5,249,189.1,213.3,192,223.7,220.3,198.8,245.9,288.9,187.8,228.4,200.4,240.3,204.4,266.1,226.2,199.2,200.7,207.9,186.7,261.2,206.7,205.7
HO05_CerebroMort,02_02,Death rates,Stroke Deaths,stroke deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The stroke death rate reflects the number of deaths per 100,000 people, due to stroke. States with the best statistics (fewer deaths) rank first.",stroke;stroke deaths;CVA;cerebrovascular;dead;fatal;fatality;mortal;mortality;rate;hemorrhagic;ischemic;cerebrum;vascular;blood;bloodflow;blood-flow;strokes;lives;lost,,,FALSE,49.9,38.2,29.5,46.9,35.5,33.7,27.3,39.1,34.9,33.9,43.1,35.3,36.6,37.6,40.7,33.5,38.7,41.8,45.1,33.6,37.7,28.2,37.6,33,49.5,41,34.7,34.5,35,28.1,31.6,32.6,26.1,43.2,34.2,40.5,43.6,37.5,37.4,27.5,45.9,36.6,45.4,41.7,38.2,32.9,38.5,34.8,43.8,35.1,32.6
HO03_CancerMort,02_03,Death rates,Cancer Deaths,cancer deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The cancer death rate reflects the number of deaths per 100,000 people, due to cancer. States with the best statistics (fewer deaths) rank first.",cancer deaths;neoplasms;malignancy;tumor;melignant;cancer;melanoma;mesothelioma;lymphoma;myeloma;genetic;tumor;tumour;disease;deaths;fatal;fatality;mortal;mortality;rate;dead;growth;tumors;lumps;cancerous;cancers;illness;lives;lost,,,FALSE,182.8,168.6,146.8,189.1,147.8,141.7,151.8,173.4,176,157,168.9,137.8,156.6,173.7,182.7,169.5,168.2,202.1,187.3,178.8,163.9,160.3,175.1,157.5,196.4,180.1,157.9,163.3,164.4,166.4,158.9,146.9,155.6,170.3,154,181.9,187.7,165.9,174,169,175.3,162.6,187.3,157.3,130.4,167.7,165,159.8,194.5,166.7,148.9
HO04_LowerRespMort,02_04,Death rates,Lower Respiratory Deaths,lower respiratory deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The lower respiratory death rate reflects the number of deaths per 100,000 people, due to lower respiratory conditions. States with the best statistics (fewer deaths) rank first.",lung;pulmonary;smoking;emphysema;bronchitis;asthma;respiration;breathing;breath;respirator;lungs;deaths;deathly;fatal;fatality;mortal;mortality;rate;dead;infection;chest;lang;tract;infection;pneumonia;bronchitis;tuberculosis;airways;CLRD;chronic;emphysema;asthma;lives;lost,,,FALSE,55.2,39.4,43.3,59.3,33.5,46.8,30.2,41.9,23.6,38.5,46.1,17.1,46.1,38.7,55.5,48,49.8,64.7,44.7,48.7,31,31.9,45.6,36.1,56.1,52.2,50.3,49.7,54,41.5,29.7,44.6,29.8,45.6,36.9,49,62.9,41.6,38,35.1,48.6,41.9,53.4,41.2,33,43,36.2,39,63.3,38.9,55.8
HO07_DiabetesMort,02_05,Death rates,Diabetes Deaths,diabetes deaths,Fewer deaths,More deaths,#,TRUE,0,1,1,,"The diabetes death rate reflects the number of deaths per 100,000 people, due to diabetes. States with the best statistics (fewer deaths) rank first.",diabetes mellitus;type 2;type II;sugar;diabetus;diabetic;mellitus;hypoglycaemic;death;dead;fatal;fatalitiy;mortal;mortality;deadly;hypoglycemia;insulin;glucose;metabolic;rate;lives;lost,,,FALSE,22.5,20.3,24.1,24.6,20.9,15.7,14.5,19.3,21.3,19.1,22,15.4,22.3,19.1,25.9,22,20,26,25.5,22,19.2,14.8,22.9,18.9,32,19.9,21.2,22.2,14.7,18,18.7,27,17.4,23.1,21.2,25.4,30.1,23.4,21.9,17.8,22.5,23.1,24.2,21.2,24.7,19.5,19.8,21.5,32.8,19.2,17.1
