name,state,D_H,D_w,D_b,D_aian,D_a,D_limitedeng,HS13a_uninsured,HS13b_PrivateIns,SEF05_married,SEF14b_CollageBAPlus,SEF19_employed,SEF25_severehouse,sef26_occupantsrm,SEF27_housingburden30,SEF28_medHHInc,SEF31_SingleParent,SEF36_ChildPoverty,SEF37_GiniInd,SEF38_poverty,HO49_Diabetes,HO53_ActivityLimit,HB50_Fruit,HB38_inactivity,HB41_currentsmoker,HO22_ExVgGoodHealthStatAdult,HO24_PhysUnhealthyDays,HO25_MentUnhealthyDays,HO33_OverwtAdult,HO47_CVD,HO48_Stroke,HS11_NotAffordDoc,HS19_DentalVisit,HS21_Mammogram,HB06_AnyBreastfeed,HO30_Chlamydia,HO32_HIV,PS03_TobaccoTax,hs23_crcscreen,HO01_AllMort,HO02_CVDMort,HO03_CancerMort,HO04_LowerRespMort,HO05_CerebroMort,HO06_AlzheimersMort,HO07_DiabetesMort,HO08_KidneyMort,HO15_SuicideMort,HO16_HomicideMort,HO17_InfantMort,HO18_LifeExpect,HO20_YLL75,HS02_ACSdischarge,PSE44_violentcrimerate,PS78b_Income_FPL1,PS76a_Education_All,HS07b_PCPratio2000,HS08_MentCarShort,HS25_AcuteReAdm,PSE05b_WalkabilityPop,PSE45_SocialCapital,PSE60_FineParticulateMatter,SEF40a_ConPov20,SEF42a_HighMinority,SEF42b_PoorHighMinority,Ho27_LBW,Ho28a_TeenBirth15to19,SEF07_ECEnoHS,SEF12_ReadProf8,pse06_parks,SEF45_adultjail,PSE35b_ACES2,PSE36_VIOLCRIME,PSE25_SafeSchool,PSE01_NHamenities,HB03_Binge,HO35_OverwtChild,HO39_OralProbs,HO40_adolasthma,HB10_RxAbuse,HB09_IllicitDrug,PSE41_TeenMentor,SEF48_foodinsecure,HO11_MotorVehMort,PS_PolicyRankings
Alabama,AL,4,66.2,26.4,0.5,1.2,1.2,11.6,66.4,47.9,24,8.3,13.83023034,1.692704887,27.28035435,44758,37.87545276,26.5,47.69,18.4,13.459818,27.72468516,51.69430812,29.44426983,21.5381544,77.3889819,4.646992,4.481227,69.54791074,6.116927071,4.625524095,16.44649664,62.29588517,72.72967405,67.3,543.6,302.4,0.675,69.2,921,295,182.8,55.2,49.9,35.4,22.5,18.5,14.8,9.5,9.1,75.5,9929.9,62,532.3,997.7806184,1836.536212,0.3627099,0.8474542,14.40696,0.019312804,-0.41259257,12.8,0.327111,0.1611091,0.28934173,10.3,30,54,26,23,572,26.9288534,4.127945441,75.04804317,1.852011738,10.13390208,35.48686048,14.30243083,15.37510527,4.4,3.4,96.7,18.1,23.99,23.52941177
Alaska,AK,6.7,62,3.1,13.7,5.9,2.2,16.9,65.8,48.3,28.8,7.8,17.62543209,6.517873199,29.3731892,74444,30.37038623,14.4,41.74,10.1,7.638046929,20.82177974,58.98824426,19.07362829,19.0354082,86.16890602,3.83873,3.474672,66.6554776,2.793719957,2.171937686,12.98613552,65.42031668,62.7211715,87.3,768.3,109.3,2,63.4,736.9,192.8,168.6,39.4,38.2,21.1,20.3,10,24.1,6.2,5.4,78.7,8144.3,36,804.2,10614.27672,4268.636103,0.0574155,0.1056695,12.79863,,,,0.082741,0.12347274,0.25603549,5.9,29,51,31,63,282,23.07476259,4.54049116,79.97330193,2.380090624,13.38585305,26.259158,13.89646332,9.791157062,8.5,3.8,94.7,12.7,12.9,20.58823529
Arizona,AZ,30.5,56.1,4,4,3,4.5,13.6,61.5,47.2,28,8,15.65474399,4.463479601,32.00979698,51340,35.82915136,25.3,46.82,17.7,10.07470264,20.56482961,60.34271453,23.08137905,14.71475109,81.43790658,4.180603,3.791449,63.24601082,4.376883293,3.380057898,13.58527468,61.2559269,68.44594876,81.6,481.1,270,2,62.6,673,187.1,146.8,43.3,29.5,33.1,24.1,5.2,17.7,5.8,5.4,80,6892,36.1,470.1,1563.394723,1756.299294,0.1616402,0.2403189,14.15082,0.031465571,-1.7504394,10.1,0.283727,0.21945658,0.42934457,7.3,26,51,31,64,589,30.19468326,5.879741137,71.19396647,2.749591303,15.91510607,26.93161842,14.32839645,11.41622112,6.6,4.5,96.6,14.6,14.11,32.35294118
Arkansas,AR,7,73.4,15.4,0.5,1.4,1.6,12.3,60.4,50.1,21.5,6.9,12.25391597,2.610908645,25.87255142,42336,35.44416278,26.8,47.08,18.8,12.64250196,27.59954796,50.39034278,32.50843678,23.58488517,74.43146318,5.230855,5.011947,68.21720433,7.099048831,4.777547297,15.33779977,57.6409219,67.96996421,67.1,545,214.8,1.15,64.9,894,282.6,189.1,59.3,46.9,34.7,24.6,20.1,17.7,8,8.1,76,9257.5,61.8,550.9,1536.104543,1969.401228,0.3714510,0.591873,15.28541,0.015020872,-0.8439757,11.8,0.371909,0.09816882,0.17978491,8.8,38,60,27,22,585,29.82745765,4.980351261,70.05613235,1.98254329,11.61591786,33.90145083,17.06906544,8.788101392,7.8,3.7,97,17.5,20.89,42.64705882
California,CA,38.6,38.4,5.6,0.4,13.7,9.4,12.6,61.8,46.6,32,8.7,18.89963191,8.200759452,42.79999503,63783,31.65551845,21.9,48.80,15.8,10.04345744,19.10779976,64.18327118,20.46022262,10.97292811,82.15635219,3.603116,3.536875,61.02474916,3.289943743,2.433738557,11.36353634,67.11101651,74.34067112,92.8,487.5,376.4,2.87,70.8,620.7,200.6,147.8,33.5,35.5,32.6,20.9,7.9,10.3,5,4.2,81.4,5180.3,36.2,445.3,5801.087995,2722.826429,0.1214480,0.1301561,14.56592,0.198730244,-1.5077689,9.3,0.235219,0.44522045,0.6096308,6.8,19,61,28,65,332,16.34716821,1.959213457,72.74358151,3.179927072,7.276330415,31.18947908,15.09798544,10.85345281,6.1,4.1,95,11.8,10.22,41.17647059
Colorado,CO,21.1,69,3.9,0.5,2.9,3,10.9,69.8,50.8,38.7,6,15.34892495,2.613110836,32.74584523,62520,27.95982866,15.7,45.90,12.2,6.753567608,19.56989313,64.23236518,15.82863903,15.59333176,85.53006769,3.416436,3.589863,58.09892656,3.063841986,2.41351239,12.0370067,67.00928405,68.32136366,81,445.4,253.6,0.84,67.5,664,175.7,141.7,46.8,33.7,29.9,15.7,8.8,19.6,3.8,4.8,80.4,5872.2,31.2,342.6,3786.926751,2110.302676,0.1690550,0.4676375,12.86483,0.093844403,-0.30192142,12.7,0.207445,0.09338831,0.21506409,9,19,64,38,74,358,23.10584701,3.433089842,71.54551802,3.186502451,12.17264142,27.20065622,13.47469432,10.75656952,6.3,4.1,96.6,10.3,11.24,48.52941177
Connecticut,CT,15,68.7,9.7,0.1,4.2,5.2,7.1,71.9,47.9,38,8,19.71797717,1.829834068,36.75501748,71755,31.60471571,14.1,49.47,10.4,9.257081049,19.44093599,64.46928953,21.27279553,13.34553388,85.63455726,3.52636,3.65253,61.84333213,3.58552254,2.626051562,9.924623914,77.82864845,79.94245653,83.3,364.9,338.7,4.35,75.8,650.2,189.1,151.8,30.2,27.3,18.2,14.5,12.3,9.7,3.3,4.8,80.9,5415.9,46.2,227.1,7199.050946,3221.186594,0.0000000,0.0651323,14.86651,0.131493903,-0.40375899,10.5,0.123971,0.13000158,0.39063842,7.8,10,73,43,41,290,19.5498945,3.732403601,77.68168442,2.814276471,7.945904292,30.17761354,10.50442086,16.5364136,4.8,3.8,95.2,12.3,8.06,50
Delaware,DE,8.8,63.5,21.1,0.3,3.7,2.4,7.5,70.9,47.4,30.5,7.1,17.23195739,1.707508382,30.71647546,61017,37.72443615,17.6,44.88,12,11.47428224,20.46681713,61.77950854,26.63711441,17.65767891,83.58330183,3.464949,3.56514,67.98922263,3.988943596,3.20610596,11.33831514,66.2209482,78.26696844,65.7,492.2,404.9,2.1,70.9,739,218,173.4,41.9,39.1,21,19.3,15.1,12.6,6.7,7.9,78.8,7376,47.2,508.8,3950.613169,2906.203318,0.2232236,0.2061531,14.4694,0.05971384,-0.17200837,11.9,0.102552,0.10525169,0.21365482,8.9,18,57,31,53,430,23.1778793,5.662304516,73.440014,2.370100335,7.908792251,30.90646747,13.45013389,12.47326508,5.1,2.9,96.5,10.8,12.12,35.29411765
District of Columbia,DC,10.5,35.8,47.4,0.2,3.6,3.6,5.2,69.1,28.2,55.4,8.7,10.03666659,3.590722701,37.19272743,72935,54.02514675,25.8,53.34,17.9,8.523653171,17.84825794,63.02315612,16.16398392,14.68605392,88.40066116,2.842265,3.392815,53.42080753,2.342106504,2.902518495,9.315003263,75.99884629,74.75211904,77.6,1198.1,2590.2,2.92,70,753.7,260.6,176,23.6,34.9,19.2,21.3,8.6,5.8,14.3,7.1,78.2,,38.3,1205.9,9624.906544,4027.371391,0.0000000,0.2005526,14.99927,0.588047467,3.608868,12.7,0.356944,0.59698917,0.77179243,10.1,26,85,19,96,0,22.20773904,9.386880279,67.9542037,3.567991435,6.913170547,33.76557569,11.16195357,14.17108996,5.9,5.3,97.1,11.4,4.52,45.45454546
Florida,FL,24.1,55.6,15.4,0.2,2.6,6.8,16.4,59.8,46.2,27.9,8.4,18.51503437,2.913950567,37.26034597,48900,38.16116537,23.3,48.52,16.1,11.28845197,20.72086124,60.99228786,29.79725063,15.47759345,80.50790841,4.025981,3.568342,63.2219368,4.741460496,3.504416115,16.60597644,63.00648541,76.88136558,77,454.8,615.2,1.339,65.8,664.8,198.1,157,38.5,33.9,18.9,19.1,10.7,14.1,6.4,6.1,80.1,7179.8,53.6,430.3,1452.719035,1753.052778,0.1190794,0.2017827,15.45126,0.042007667,-1.0310164,11.4,0.209421,0.23392987,0.34808831,8.7,21,63,30,39,485,26.12724202,4.74634245,68.85101567,2.678733298,7.895805143,36.61064832,14.35114458,11.49523204,5.3,3.6,94.8,12,15.23,33.82352941
