state,D_H,D_w,D_b,D_aian,D_a,D_limitedeng,HS13a_uninsured,HS13b_PrivateIns,SEF05_married,SEF14b_CollageBAPlus,SEF19_employed,SEF25_severehouse,sef26_occupantsrm,SEF27_housingburden30,SEF28_medHHInc,SEF31_SingleParent,SEF36_ChildPoverty,SEF37_GiniInd,SEF38_poverty,HO49_Diabetes,HO53_ActivityLimit,HB50_Fruit,HB38_inactivity,HB41_currentsmoker,HO22_ExVgGoodHealthStatAdult,HO24_PhysUnhealthyDays,HO25_MentUnhealthyDays,HO33_OverwtAdult,HO47_CVD,HO48_Stroke,HS11_NotAffordDoc,HS19_DentalVisit,HS21_Mammogram,HB06_AnyBreastfeed,HO30_Chlamydia,HO32_HIV,PS03_TobaccoTax,hs23_crcscreen,HO01_AllMort,HO02_CVDMort,HO03_CancerMort,HO04_LowerRespMort,HO05_CerebroMort,HO06_AlzheimersMort,HO07_DiabetesMort,HO08_KidneyMort,HO15_SuicideMort,HO16_HomicideMort,HO17_InfantMort,HO18_LifeExpect,HO20_YLL75,HS02_ACSdischarge,PSE44_violentcrimerate,PS78b_Income_FPL1,PS76a_Education_All,HS07b_PCPratio2000,HS08_MentCarShort,HS25_AcuteReAdm,PSE05b_WalkabilityPop,PSE45_SocialCapital,PSE60_FineParticulateMatter,SEF40a_ConPov20,SEF42a_HighMinority,SEF42b_PoorHighMinority,Ho27_LBW,Ho28a_TeenBirth15to19,SEF07_ECEnoHS,SEF12_ReadProf8,pse06_parks,SEF45_adultjail,PSE35b_ACES2,PSE36_VIOLCRIME,PSE25_SafeSchool,PSE01_NHamenities,HB03_Binge,HO35_OverwtChild,HO39_OralProbs,HO40_adolasthma,HB10_RxAbuse,HB09_IllicitDrug,PSE41_TeenMentor,SEF48_foodinsecure,HO11_MotorVehMort,PS_PolicyRankings
AL,40,31,7,20,45,42,20,33,34,45,10,36,42,40,48,7,5,14,6,3,2,46,6,9,48,5,4,3,4,4,6,37,24,45,10,20,40,20,3,2,8,8,1,8,17,7,23,4,1,49,3,5,8,50,41,6,3,29,45,26,7,8,16,17,3,10,37,46,44,6,8,26,25,50,23,6,13,3,49,26,6,3,2,47
AK,30,37,39,1,10,28,2,35,30,27,17,9,3,29,2,36,43,51,49,48,23,29,44,16,6,24,37,21,49,50,18,31,49,10,2,44,15,41,26,41,23,33,19,39,31,37,3,17,36,29,12,45,2,2,1,42,42,46,#N/A,#N/A,#N/A,49,20,21,51,11,46,33,12,37,24,19,8,37,3,42,18,30,2,12,39,25,25,49
AZ,4,42,34,7,21,13,11,45,38,31,14,20,6,19,31,12,9,21,9,24,26,25,28,38,37,15,24,38,23,18,15,42,37,19,19,22,15,43,42,46,48,26,46,13,12,50,12,22,36,11,26,44,13,43,46,29,30,35,39,47,43,14,11,8,36,14,46,33,9,4,1,8,44,19,1,40,12,17,15,4,8,14,22,34
AR,29,26,12,20,39,34,17,48,16,49,27,44,20,43,50,14,4,19,4,7,3,47,1,3,50,2,2,11,2,3,11,48,39,46,9,27,34,35,6,4,4,4,3,9,10,3,12,8,3,45,6,6,7,44,37,5,8,11,48,41,21,4,26,30,14,1,18,43,46,5,2,15,46,47,10,10,2,39,6,16,5,5,4,14
CA,2,49,29,25,2,1,16,44,42,15,3,6,2,1,10,29,19,5,18,25,37,7,36,50,30,35,35,45,47,46,29,22,17,1,18,10,10,13,50,33,46,43,28,14,30,46,44,27,47,2,49,43,16,14,11,34,39,24,6,45,48,18,3,3,43,31,15,40,7,32,47,51,37,7,45,24,5,20,23,7,32,33,35,17
CO,7,28,35,20,22,17,23,22,12,3,35,23,19,17,13,45,37,30,37,51,35,6,50,34,13,42,31,49,48,47,26,23,38,22,27,24,38,26,46,50,49,19,38,20,47,43,7,31,41,8,40,49,29,25,30,28,18,45,14,22,9,25,28,26,11,31,7,9,4,28,23,35,42,5,6,37,26,21,20,7,8,43,31,9
CT,11,29,22,44,14,10,45,16,34,5,14,4,36,8,6,30,44,3,48,32,36,5,33,48,10,39,29,43,44,38,43,1,3,14,42,15,1,2,47,43,44,47,50,48,51,27,46,38,41,5,46,32,47,7,7,46,45,17,11,25,36,43,19,11,32,50,2,4,25,35,40,30,18,17,39,29,43,1,41,12,29,29,46,7
DE,27,34,9,29,16,24,43,18,37,20,26,12,41,22,15,8,32,40,38,11,28,19,14,24,26,41,33,13,30,22,30,27,4,47,16,8,14,12,24,24,18,28,16,40,36,17,38,15,5,28,20,28,10,23,9,22,32,27,25,16,20,47,25,27,13,36,26,33,20,17,22,11,35,38,40,26,27,12,37,40,11,39,28,25
DC,19,50,1,33,18,15,49,26,51,1,3,50,9,6,4,1,6,1,7,40,41,13,49,39,1,51,42,51,51,30,45,2,15,30,1,1,9,14,19,8,13,50,32,44,26,44,51,1,13,36,#N/A,41,1,4,3,46,35,16,1,1,9,6,2,1,4,14,1,51,1,51,31,1,49,1,48,12,37,7,24,2,4,36,51,13
FL,6,43,12,33,25,5,3,49,44,32,8,7,14,5,39,6,15,6,17,15,25,21,3,35,40,19,32,39,15,17,5,36,5,34,26,4,30,30,45,39,40,37,37,46,39,34,27,16,24,10,21,16,19,45,47,35,34,6,35,43,25,23,9,14,15,28,9,36,29,11,12,17,48,24,41,4,10,15,32,20,38,32,18,28
GA,24,44,4,33,16,17,5,40,40,23,5,31,23,18,32,10,8,8,8,16,30,42,7,22,39,26,25,24,20,13,4,35,20,42,7,5,49,42,13,15,22,20,10,10,21,7,39,13,6,39,15,21,22,47,38,7,14,18,43,42,7,13,8,12,5,14,9,36,39,10,9,6,31,39,36,18,7,49,37,23,15,20,17,25
HI,21,51,43,44,1,6,49,4,20,18,40,3,1,3,5,41,44,47,46,39,51,31,34,49,15,40,48,50,45,27,51,8,8,7,15,26,5,8,51,48,50,51,29,49,48,33,35,45,24,1,44,51,31,12,23,45,28,50,#N/A,#N/A,#N/A,45,1,2,18,28,18,46,2,41,32,2,34,8,24,45,32,40,41,12,49,51,41,36
ID,16,10,50,9,41,30,12,28,2,40,34,22,17,33,38,50,28,41,23,46,15,24,38,40,21,31,34,32,32,41,14,34,51,12,46,47,45,44,27,31,41,20,26,27,19,42,6,46,24,23,36,48,46,37,51,10,1,48,30,39,43,35,47,47,39,24,51,12,21,16,26,24,17,36,13,43,6,45,3,20,32,30,14,45
IL,10,36,15,44,11,12,30,27,36,13,12,14,18,16,17,27,25,11,27,26,43,20,21,33,33,22,38,28,36,24,32,30,26,31,12,17,20,40,28,20,17,36,22,38,39,11,44,12,20,23,32,13,17,18,18,27,20,13,5,35,13,27,12,10,23,28,7,25,15,29,37,22,23,3,43,39,25,13,35,40,29,37,43,12
